ID,Gloss,Concepticon_ID,Concepticon_Gloss,Portuguese_Gloss
138_name,name,1405,NAME,nome
139_narrow,narrow,1267,NARROW,estreito
140_navel,navel,1838,NAVEL,umbigo
141_near,near,1942,NEAR,perto
142_neck,neck,1333,NECK,pescoço
143_new,new,1231,NEW,novo
144_night,night,1233,NIGHT,noite
145_no,no,1269,NO,não
146_nose,nose,1221,NOSE,nariz
147_old,old,1229,OLD,velho
148_one,one,1493,ONE,um
149_other,other,197,OTHER,outro
150_path,path,2252,PATH,caminho
151_people,people,789,PEOPLE,gente
152_personcivilized,"person, civilized",2661,PEOPLE OR PERSON,Pessoa Civilizado
153_pierce,pierce,398,PIERCE,furar
154_play,play,1413,PLAY,jogar
155_throw,throw,1413,PLAY,jogar
156_pull,pull,1455,PULL,puxar
157_push,push,1452,PUSH,empurrar
158_rain,rain,658,RAIN (PRECIPITATION),chuva
159_red,red,156,RED,vermelho
160_right,right,1019,RIGHT,direito
161_ripe,ripe,178,RIPE,maduro
162_river,river,666,RIVER,rio
163_stone,stone,668,ROCK,pedra
164_root,root,670,ROOT,raiz
165_rope,rope,1218,ROPE,corda
166_rotten,rotten,1728,ROTTEN,podre
167_round,round,1395,ROUND,redondo
168_run,run,1519,RUN,correr
169_saliva,saliva,1503,SALIVA,saliva
170_salt,salt,1274,SALT,sal
171_say,say,1458,SAY,dizer
172_scratch,scratch,1436,SCRATCH,arranhar
173_sea,sea,1474,SEA,mar
174_see,see,1409,SEE,ver
175_seed,seed,714,SEED,semente
176_sew,sew,1457,SEW,coser
177_sharp,sharp,1396,SHARP,afiado
178_shoot,shoot,1172,SHOOT,atirar
179_short,short,1645,SHORT,curto
180_sing,sing,1261,SING,cantar
181_sit,sit,1416,SIT,sentado
182_skin,skin,763,SKIN,pele
183_sky,sky,1732,SKY,céu
184_sleep,sleep,1585,SLEEP,dormir
185_small,small,1246,SMALL,pequeno
186_smell,smell,1586,SMELL (PERCEIVE),cheirar
187_smoke,smoke,778,SMOKE (EXHAUST),fumaça
188_smooth,smooth,1234,SMOOTH,liso
189_snake,snake,730,SNAKE,cobra
190_soul,soul,811,SOUL,Alma
191_split,split,1437,SPLIT,rachar
192_squeeze,squeeze,1414,SQUEEZE,apertar
193_standing,standing,1442,STAND,de pé
194_star,star,1430,STAR,estrela
195_straight,straight,1404,STRAIGHT,reto
196_suck,suck,1421,SUCK,chupar
197_sun,sun,1343,SUN,sol
198_swellup,swell up,1573,SWELL,inchar
199_swim,swim,1439,SWIM,nadar
200_tail,tail,1220,TAIL,rabo
201_tell,tell,1711,TELL,dizer
202_that,that,78,THAT,aquele
203_there,there,1937,THERE,ali
204_they,they,817,THEY,eles
205_thick,thick,1244,THICK,grosso
206_thin,thin,2308,THIN,fino
207_skinny,skinny,1400,THIN (SLIM),Magro
208_think,think,2271,THINK,pensar
209_this,this,1214,THIS,este
210_you,you,1215,THOU,tu
211_three,three,492,THREE,três
212_tie,tie,1917,TIE,amarrar
213_tongue,tongue,1205,TONGUE,língua
214_tooth,tooth,1380,TOOTH,dente
215_hometohome,home (to home),2754,TOWARDS,casa (para casa
216_tree,tree,906,TREE,árvore
217_turn,turn,1588,TURN,virar
218_two,two,1498,TWO,dois
219_vine,vine,343,VINE,cipo
220_vomit,vomit,1278,VOMIT,vomitar
221_walk,walk,1443,WALK,andar
222_wash,wash,1453,WASH,lavar
223_water,water,948,WATER,água
224_we,we,1212,WE,nós
225_wet,wet,1726,WET,molhado
